CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,208.0,10.9,1.0,741.0,272.0,24.0,1.224365713074569,0.008827089770813314
2.0,1120.0,86.0,2.0,529.0,71.0,70.0,3.2226644190680007,0.014507683825420104
3.0,1130.0,91.5,,,,100.0,3.7841188101119547,0.12853805496521384
4.0,nan,1580.0,,,,160.0,3.798809486332991,0.26670180357364753
5.0,613.0,198.5,,,,250.0,2.5535880821691785,0.008126198919726709
6.0,676.0,89.0,,,,350.0,1.0270784693009012,0.0035811825687475604
7.0,414.0,81.5,,,,500.0,0.3282478491105905,0.004501024893807085
8.0,435.0,93.5,,,,,,
9.0,441.0,159.5,,,,,,
10.0,nan,487.0,,,,,,
11.0,301.0,124.0,,,,,,
12.0,nan,357.0,,,,,,
13.0,nan,522.0,,,,,,
