CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,465.3333333333333,73.452828778445,1.0,1040.0,153.5,24.0,1.1341771374018108,0.02477797832615398
2.0,2010.0,151.0,2.0,1140.0,50.0,70.0,22.18557301146587,0.12253043211521188
3.0,2270.0,171.5,,,,100.0,34.808518480593804,0.1740329402619334
4.0,1640.0,165.0,,,,160.0,32.473490806330204,0.20477322665719666
5.0,1600.0,90.0,,,,250.0,14.166304896590512,0.03943501105394746
6.0,1310.0,50.0,,,,350.0,5.584513522462972,0.02185992754022753
7.0,734.0,45.0,,,,500.0,1.6072423685864587,0.007991209487442485
8.0,531.0,73.5,,,,,,
9.0,362.0,66.5,,,,,,
10.0,nan,252.0,,,,,,
11.0,202.0,56.5,,,,,,
12.0,nan,183.0,,,,,,
13.0,nan,175.0,,,,,,
