CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1170.0,116.5,1.0,992.0,219.0,24.0,nan,nan
2.0,nan,nan,2.0,818.0,71.0,70.0,31.174227768346668,0.10297987680807234
3.0,2260.0,341.5,,,,100.0,47.883498334046585,0.007381424389617277
4.0,1500.0,255.0,,,,160.0,44.22509076274415,0.23943100734966818
5.0,1010.0,164.0,,,,250.0,17.93893659390176,0.003188537270083495
6.0,774.0,97.5,,,,350.0,7.147607529910792,0.002487154412358858
7.0,362.0,68.5,,,,500.0,2.4846601745114674,0.001694344824833075
8.0,nan,nan,,,,,,
9.0,nan,1010.0,,,,,,
10.0,nan,832.0,,,,,,
11.0,nan,nan,,,,,,
12.0,nan,562.0,,,,,,
13.0,nan,nan,,,,,,
