CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,999.0,350.0,24.0,0.6785185575458362,0.02521594600728797
2.0,nan,nan,2.0,291.0,67.0,70.0,9.05589766175775,0.019841237176042487
3.0,nan,nan,,,,100.0,11.96768910354715,0.031044771275829622
4.0,1700.0,355.0,,,,160.0,9.782350632463103,0.024534609081884182
5.0,818.0,221.0,,,,250.0,3.691123116858578,0.003935923000858934
6.0,626.0,92.5,,,,350.0,1.3684732127439092,0.0025774273031624263
7.0,269.0,68.0,,,,500.0,0.37641284239304773,0.0031050086044726384
8.0,nan,377.0,,,,,,
9.0,nan,411.0,,,,,,
10.0,nan,244.0,,,,,,
11.0,nan,318.0,,,,,,
12.0,nan,nan,,,,,,
13.0,nan,225.0,,,,,,
