CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,4273.333333333333,2548.212045565805,1.0,975.0,247.5,24.0,nan,nan
2.0,nan,nan,2.0,828.0,75.5,70.0,17.700042683482195,0.00415542626059902
3.0,2950.0,485.5,,,,100.0,34.040102073587335,0.005615185292132028
4.0,1010.0,273.5,,,,160.0,34.47089939491157,0.00778619989009168
5.0,602.0,243.0,,,,250.0,16.08567551311687,0.00868269509019893
6.0,nan,438.0,,,,350.0,6.07968386265709,0.005817910515360654
7.0,nan,311.0,,,,500.0,1.9487167766266857,0.0030702524216340704
8.0,nan,426.0,,,,,,
9.0,nan,493.0,,,,,,
10.0,nan,nan,,,,,,
11.0,nan,751.0,,,,,,
12.0,nan,287.0,,,,,,
13.0,nan,nan,,,,,,
