CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1322.0,339.37137567125484,1.0,3540.0,405.0,24.0,nan,nan
2.0,nan,nan,2.0,4560.0,175.0,70.0,131.93541072864195,0.0033398283971738966
3.0,13200.0,1495.2529050297812,,,,100.0,nan,nan
4.0,8490.0,505.0,,,,160.0,109.44647695889692,0.04118623292953601
5.0,9540.0,400.0,,,,250.0,39.74361125007163,0.011735963882991814
6.0,7260.0,225.0,,,,350.0,14.220989161078565,0.006633046627604492
7.0,4460.0,165.0,,,,500.0,4.208652681338091,0.0026860689815806933
8.0,3020.0,220.0,,,,,,
9.0,nan,2670.0,,,,,,
10.0,1180.0,348.0,,,,,,
11.0,848.0,299.0,,,,,,
12.0,nan,1340.0,,,,,,
13.0,nan,nan,,,,,,
