CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,2480.0,248.0,1.0,3770.0,290.0,24.0,5.459500407267197,0.07344504422480116
2.0,5630.0,291.5,2.0,3040.0,110.0,70.0,54.154043269304644,0.7084000664321937
3.0,10075.0,944.0044027969361,,,,100.0,78.19524238415956,0.16019353455666754
4.0,8660.0,335.0,,,,160.0,65.86302658422595,0.19124747771587108
5.0,7000.0,240.0,,,,250.0,27.514992399456386,0.14944063559380633
6.0,4830.0,145.0,,,,350.0,10.393182522436515,0.07929118646831027
7.0,3290.0,100.0,,,,500.0,3.196813146357866,0.03153202458861322
8.0,2090.0,175.0,,,,,,
9.0,2280.0,250.0,,,,,,
10.0,1390.0,255.0,,,,,,
11.0,1170.0,279.0,,,,,,
12.0,nan,914.0,,,,,,
13.0,nan,nan,,,,,,
