CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,1550.0,265.0,24.0,5.8485757845106665,0.021598250410432004
2.0,nan,nan,2.0,3050.0,85.0,70.0,98.86652986520717,0.06888750830842606
3.0,nan,nan,,,,100.0,105.48561803207407,0.070490588819873
4.0,3980.0,395.0,,,,160.0,70.50754418423489,0.07266392879602983
5.0,4800.0,180.0,,,,250.0,24.365506733566825,0.08294209855798401
6.0,4780.0,100.0,,,,350.0,8.664856330202094,0.04507510024416158
7.0,3740.0,90.0,,,,500.0,2.5246956744622757,0.026864673328551587
8.0,3150.0,145.0,,,,,,
9.0,3130.0,175.0,,,,,,
10.0,2640.0,150.0,,,,,,
11.0,2150.0,135.0,,,,,,
12.0,1430.0,110.0,,,,,,
13.0,986.0,132.5,,,,,,
