CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,128.0,32.1,1.0,836.4410473306162,215.42297816311705,24.0,0.5686394749858122,0.03432337584913592
2.0,579.0,92.3,2.0,585.0,26.0,70.0,8.700000631569758,0.018876449548188
3.0,655.0,106.0,,,,100.0,12.887852515036448,0.015702309492370572
4.0,nan,nan,,,,160.0,11.424211450797818,0.026220871893954025
5.0,800.724554989877,100.75342082654,,,,250.0,4.79271083928822,0.004794480784782628
6.0,578.927095060163,39.7736172178738,,,,350.0,1.7831972121469766,0.002711949858159538
7.0,322.005255131496,26.5180798343585,,,,500.0,0.546034046571181,0.0034424305559245783
