CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1110.0,69.40501102626204,1.0,3330.0,220.0,24.0,11.813294817613572,0.004860052444082292
2.0,6540.0,1805.0522930444426,2.0,4790.0,95.0,70.0,120.96150093767669,0.038184780911294944
3.0,nan,nan,,,,100.0,133.27093345487006,0.043881564537632936
4.0,8450.0,265.0,,,,160.0,89.81620529988764,0.05675446446584003
5.0,8270.0,165.0,,,,250.0,29.455349917334356,0.02281254413894376
6.0,8250.0,90.0,,,,350.0,9.910217113703641,0.010952400463379038
7.0,5720.0,80.0,,,,500.0,2.9147991321890303,0.006494973850335349
8.0,4390.0,145.0,,,,,,
9.0,3060.0,135.0,,,,,,
10.0,2150.0,130.0,,,,,,
11.0,1350.0,100.0,,,,,,
12.0,919.0,96.0,,,,,,
13.0,520.0,215.0,,,,,,
