CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,477.0,174.5,24.0,0.2947891027656941,0.037873331165709775
2.0,nan,nan,2.0,220.0,34.5,70.0,8.879282689603516,0.004626361097991131
3.0,nan,nan,,,,100.0,nan,nan
4.0,670.0,203.5,,,,160.0,16.62522851354106,0.007475996065166234
5.0,339.0,99.0,,,,250.0,7.272883387495211,0.00654274962601966
6.0,190.0,51.5,,,,350.0,2.7728456258288263,0.0038036244163602135
7.0,nan,134.0,,,,500.0,0.8502369413460842,0.0022546013341743203
8.0,nan,185.0,,,,,,
9.0,nan,171.0,,,,,,
10.0,nan,161.0,,,,,,
11.0,nan,nan,,,,,,
12.0,nan,142.0,,,,,,
13.0,nan,211.0,,,,,,
