CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,233.61999999999998,51.76922101017168,1.0,1320.0,190.0,24.0,4.7049222312904595,0.006092511008140344
2.0,1820.0,478.74144900979695,2.0,1510.0,45.0,70.0,30.71277505287776,0.013722225574623124
3.0,1790.0,196.5961914687057,,,,100.0,35.19592841426183,0.016972103804524723
4.0,2360.0,235.0,,,,160.0,24.465127069088556,0.02211989427721357
5.0,2300.0,110.0,,,,250.0,8.460109639975801,0.05926717779288179
6.0,1790.0,55.0,,,,350.0,3.0176760388687973,0.02660478436725715
7.0,1220.0,45.0,,,,500.0,0.8382932110214413,0.01139432224634974
8.0,831.0,66.0,,,,,,
9.0,628.0,61.0,,,,,,
10.0,406.0,53.5,,,,,,
11.0,301.0,50.0,,,,,,
12.0,203.0,48.0,,,,,,
13.0,196.0,66.5,,,,,,
