CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,1370.0,195.0,24.0,nan,nan
2.0,nan,nan,2.0,1150.0,45.0,70.0,7.0654774438500025,0.003512169328314611
3.0,nan,nan,,,,100.0,12.428904801652783,0.0036653099555891016
4.0,1990.0,210.0,,,,160.0,13.533539136459593,0.004963547379255624
5.0,1540.0,145.0,,,,250.0,6.214230128050748,0.015550019621350707
6.0,1050.0,68.5,,,,350.0,2.4836178097236643,0.007710288793747218
7.0,571.0,49.0,,,,500.0,0.830929202215246,0.003156400117685261
8.0,450.0,55.0,,,,,,
9.0,410.0,106.0,,,,,,
10.0,247.0,87.5,,,,,,
11.0,nan,466.0,,,,,,
12.0,nan,236.0,,,,,,
13.0,nan,625.0,,,,,,
