CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,210.0,11.55,1.0,925.0,294.0,24.0,2.3831039013266846,0.0418625561246471
2.0,1080.0,82.5,2.0,1180.0,50.0,70.0,8.701454241570664,0.008257080993791303
3.0,1130.0,91.0,,,,100.0,nan,nan
4.0,1610.0,330.0,,,,160.0,11.0958773585323,0.008475951232373371
5.0,946.0,183.5,,,,250.0,4.394536963253395,0.004659220456162071
6.0,847.0,94.5,,,,350.0,1.716697773868976,0.0047416690186837356
7.0,568.0,51.5,,,,500.0,0.5693374206553543,0.00298967675657639
8.0,493.0,77.0,,,,,,
9.0,387.0,148.0,,,,,,
10.0,294.0,107.0,,,,,,
11.0,nan,477.0,,,,,,
12.0,nan,408.0,,,,,,
13.0,nan,355.0,,,,,,
