CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,2480.0,325.0,24.0,nan,nan
2.0,nan,nan,2.0,2480.0,100.0,70.0,57.443635959823034,0.007274161728508267
3.0,nan,nan,,,,100.0,79.58570317657458,0.009637129173689097
4.0,3550.0,345.0,,,,160.0,64.11808159283859,0.011193775338098047
5.0,3420.0,250.0,,,,250.0,23.866799164375124,0.0069843877086761905
6.0,2700.0,115.0,,,,350.0,8.591680524970403,0.00430555803574498
7.0,1580.0,100.0,,,,500.0,2.6032922443037276,0.0032600448808632423
8.0,639.0,190.0,,,,,,
9.0,nan,895.0,,,,,,
10.0,nan,1140.0,,,,,,
11.0,nan,1040.0,,,,,,
12.0,nan,847.0,,,,,,
13.0,nan,1520.0,,,,,,
